alg,num_kmers,time,k,omega
rappas,2632,307,7,1
bb,2572,345,7,1
dc,2572,119,7,1
rappas,2572,329,7,1
bb,2677,292,7,1
dc,2677,101,7,1
rappas,2677,317,7,1
bb,3163,315,7,1
dc,3163,121,7,1
rappas,3163,406,7,1
bb,4910,579,7,1
dc,4910,182,7,1
rappas,4910,614,7,1
bb,3063,403,7,1
dc,3063,114,7,1
rappas,3063,338,7,1
bb,3612,440,7,1
dc,3612,141,7,1
rappas,3612,429,7,1
bb,4098,533,7,1
dc,4098,148,7,1
rappas,4098,470,7,1
bb,5052,501,7,1
dc,5052,185,7,1
rappas,5052,492,7,1
bb,4429,505,7,1
dc,4429,168,7,1
rappas,4429,512,7,1
bb,3497,402,7,1
dc,3497,123,7,1
rappas,3497,382,7,1
bb,4353,414,7,1
dc,4353,171,7,1
rappas,4353,453,7,1
bb,3189,587,7,1
dc,3189,129,7,1
rappas,3189,408,7,1
bb,3049,385,7,1
dc,3049,111,7,1
rappas,3049,386,7,1
bb,3911,383,7,1
dc,3911,143,7,1
rappas,3911,437,7,1
bb,2985,371,7,1
dc,2985,112,7,1
rappas,2985,317,7,1
bb,3523,392,7,1
dc,3523,130,7,1
rappas,3523,411,7,1
bb,4837,535,7,1
dc,4837,169,7,1
rappas,4837,529,7,1
bb,3381,452,7,1
dc,3381,120,7,1
rappas,3381,424,7,1
bb,4867,516,7,1
dc,4867,167,7,1
rappas,4867,560,7,1
bb,3698,445,7,1
dc,3698,129,7,1
rappas,3698,403,7,1
bb,2266,360,7,1
dc,2266,84,7,1
rappas,2266,297,7,1
bb,2762,327,7,1
dc,2762,147,7,1
rappas,2762,337,7,1
bb,3270,352,7,1
dc,3270,111,7,1
rappas,3270,356,7,1
bb,2596,344,7,1
dc,2596,101,7,1
rappas,2596,315,7,1
bb,4156,360,7,1
dc,4156,147,7,1
rappas,4156,459,7,1
bb,2859,353,7,1
dc,2859,107,7,1
rappas,2859,320,7,1
bb,3655,393,7,1
dc,3655,124,7,1
rappas,3655,393,7,1
bb,3102,418,7,1
dc,3102,115,7,1
rappas,3102,409,7,1
bb,4214,443,7,1
dc,4214,150,7,1
rappas,4214,469,7,1
bb,3804,491,7,1
dc,3804,128,7,1
rappas,3804,444,7,1
bb,5746,655,7,1
dc,5746,236,7,1
rappas,5746,680,7,1
bb,3091,267,7,1
dc,3091,126,7,1
rappas,3091,319,7,1
bb,4215,481,7,1
dc,4215,152,7,1
rappas,4215,927,7,1
bb,5147,513,7,1
dc,5147,206,7,1
rappas,5147,641,7,1
bb,1995,168,7,1
dc,1995,74,7,1
rappas,1995,230,7,1
bb,3200,378,7,1
dc,3200,128,7,1
rappas,3200,399,7,1
bb,3911,366,7,1
dc,3911,516,7,1
rappas,3911,413,7,1
bb,3595,696,7,1
dc,3595,144,7,1
rappas,3595,351,7,1
bb,4800,373,7,1
dc,4800,183,7,1
rappas,4800,487,7,1
bb,4927,503,7,1
dc,4927,161,7,1
rappas,4927,912,7,1
bb,3269,386,7,1
dc,3269,113,7,1
rappas,3269,268,7,1
bb,3010,365,7,1
dc,3010,110,7,1
rappas,3010,325,7,1
bb,3789,394,7,1
dc,3789,141,7,1
rappas,3789,389,7,1
bb,3297,401,7,1
dc,3297,120,7,1
rappas,3297,356,7,1
bb,3938,407,7,1
dc,3938,136,7,1
rappas,3938,417,7,1
bb,3907,453,7,1
dc,3907,137,7,1
rappas,3907,435,7,1
bb,5270,558,7,1
dc,5270,237,7,1
rappas,5270,561,7,1
bb,3421,311,7,1
dc,3421,119,7,1
rappas,3421,407,7,1
bb,4030,474,7,1
dc,4030,134,7,1
rappas,4030,447,7,1
bb,4239,587,7,1
dc,4239,166,7,1
rappas,4239,502,7,1
bb,4640,519,7,1
dc,4640,147,7,1
rappas,4640,472,7,1
bb,4636,531,7,1
dc,4636,153,7,1
rappas,4636,481,7,1
bb,3459,437,7,1
dc,3459,121,7,1
rappas,3459,386,7,1
bb,2347,285,7,1
dc,2347,84,7,1
rappas,2347,256,7,1
bb,3860,397,7,1
dc,3860,131,7,1
rappas,3860,437,7,1
bb,4124,516,7,1
dc,4124,172,7,1
rappas,4124,488,7,1
bb,4423,379,7,1
dc,4423,192,7,1
rappas,4423,452,7,1
bb,3341,394,7,1
dc,3341,123,7,1
rappas,3341,370,7,1
bb,4810,490,7,1
dc,4810,178,7,1
rappas,4810,524,7,1
bb,4081,505,7,1
dc,4081,137,7,1
rappas,4081,504,7,1
bb,3960,508,7,1
dc,3960,282,7,1
rappas,3960,596,7,1
bb,3909,492,7,1
dc,3909,150,7,1
rappas,3909,448,7,1
bb,4605,574,7,1
dc,4605,200,7,1
rappas,4605,502,7,1
bb,5266,517,7,1
dc,5266,217,7,1
rappas,5266,506,7,1
bb,2839,264,7,1
dc,2839,106,7,1
rappas,2839,332,7,1
bb,3247,319,7,1
dc,3247,111,7,1
rappas,3247,332,7,1
bb,4173,475,7,1
dc,4173,182,7,1
rappas,4173,900,7,1
bb,4107,482,7,1
dc,4107,157,7,1
rappas,4107,420,7,1
bb,5608,547,7,1
dc,5608,238,7,1
rappas,5608,934,7,1
bb,5047,412,7,1
dc,5047,171,7,1
rappas,5047,541,7,1
bb,4053,422,7,1
dc,4053,140,7,1
rappas,4053,441,7,1
bb,2856,406,7,1
dc,2856,103,7,1
rappas,2856,364,7,1
bb,3850,342,7,1
dc,3850,137,7,1
rappas,3850,357,7,1
bb,3380,456,7,1
dc,3380,165,7,1
rappas,3380,378,7,1
bb,3340,414,7,1
dc,3340,126,7,1
rappas,3340,406,7,1
bb,2898,352,7,1
dc,2898,103,7,1
rappas,2898,369,7,1
bb,4240,411,7,1
dc,4240,154,7,1
rappas,4240,469,7,1
bb,4076,486,7,1
dc,4076,138,7,1
rappas,4076,455,7,1
bb,3531,394,7,1
dc,3531,123,7,1
rappas,3531,347,7,1
bb,3381,401,7,1
dc,3381,121,7,1
rappas,3381,365,7,1
bb,2974,342,7,1
dc,2974,109,7,1
rappas,2974,332,7,1
bb,3623,459,7,1
dc,3623,135,7,1
rappas,3623,438,7,1
bb,3845,441,7,1
dc,3845,129,7,1
rappas,3845,500,7,1
bb,3387,433,7,1
dc,3387,128,7,1
rappas,3387,364,7,1
bb,3091,387,7,1
dc,3091,114,7,1
rappas,3091,357,7,1
bb,3926,455,7,1
dc,3926,138,7,1
rappas,3926,461,7,1
bb,3992,564,7,1
dc,3992,136,7,1
rappas,3992,523,7,1
bb,3486,424,7,1
dc,3486,126,7,1
rappas,3486,391,7,1
bb,4211,515,7,1
dc,4211,154,7,1
rappas,4211,471,7,1
bb,3250,380,7,1
dc,3250,112,7,1
rappas,3250,378,7,1
bb,3902,420,7,1
dc,3902,141,7,1
rappas,3902,376,7,1
bb,4669,537,7,1
dc,4669,181,7,1
rappas,4669,526,7,1
bb,2439,346,7,1
dc,2439,96,7,1
rappas,2439,277,7,1
bb,3848,394,7,1
dc,3848,132,7,1
rappas,3848,431,7,1
bb,3711,496,7,1
dc,3711,128,7,1
rappas,3711,435,7,1
bb,4432,500,7,1
dc,4432,169,7,1
rappas,4432,500,7,1
bb,4683,512,7,1
dc,4683,164,7,1
rappas,4683,510,7,1
bb,4581,529,7,1
dc,4581,164,7,1
rappas,4581,476,7,1
bb,5646,575,7,1
dc,5646,228,7,1
rappas,5646,553,7,1
bb,3842,380,7,1
dc,3842,134,7,1
rappas,3842,423,7,1
bb,4123,490,7,1
dc,4123,175,7,1
rappas,4123,477,7,1
bb,3285,407,7,1
dc,3285,120,7,1
rappas,3285,387,7,1
bb,4043,435,7,1
dc,4043,135,7,1
rappas,4043,457,7,1
bb,3147,400,7,1
dc,3147,110,7,1
rappas,3147,363,7,1
bb,2120,279,7,1
dc,2120,82,7,1
rappas,2120,283,7,1
bb,4889,456,7,1
dc,4889,160,7,1
rappas,4889,489,7,1
bb,3819,440,7,1
dc,3819,130,7,1
rappas,3819,402,7,1
bb,2560,305,7,1
dc,2560,100,7,1
rappas,2560,292,7,1
bb,3324,275,7,1
dc,3324,121,7,1
rappas,3324,365,7,1
bb,2600,273,7,1
dc,2600,106,7,1
rappas,2600,327,7,1
bb,3978,506,7,1
dc,3978,140,7,1
rappas,3978,496,7,1
bb,4229,442,7,1
dc,4229,152,7,1
rappas,4229,468,7,1
bb,2872,375,7,1
dc,2872,104,7,1
rappas,2872,312,7,1
bb,3944,420,7,1
dc,3944,130,7,1
rappas,3944,418,7,1
bb,3110,384,7,1
dc,3110,116,7,1
rappas,3110,367,7,1
bb,4527,422,7,1
dc,4527,168,7,1
rappas,4527,481,7,1
bb,4710,576,7,1
dc,4710,176,7,1
rappas,4710,487,7,1
bb,4213,552,7,1
dc,4213,170,7,1
rappas,4213,516,7,1
bb,4752,528,7,1
dc,4752,181,7,1
rappas,4752,522,7,1
bb,3867,442,7,1
dc,3867,134,7,1
rappas,3867,427,7,1
bb,5319,504,7,1
